Years of Education,Weekly Working Hours,Age,English Proficiency,Residence Area,Monthly Income (MXN)
15,34,31,4,0,35744.57249067685
12,39,58,2,1,29594.757101247298
19,48,36,4,1,42658.67089888266
16,48,47,2,1,40650.65668829975
13,22,22,1,0,24230.978646790107
15,38,48,4,1,37821.31367168152
18,22,24,2,0,30981.680640562397
11,33,36,5,1,26509.27011643239
15,59,48,5,1,36949.326291483
19,23,56,2,1,40091.68583400514
19,30,41,4,0,36669.211430169205
16,50,51,4,0,37865.381953885655
13,51,40,1,0,31942.069172715117
12,46,62,1,1,30996.128136760326
16,49,57,3,0,37966.0697656996
16,21,23,1,1,30409.33668282312
11,28,55,4,1,27399.568233963175
14,47,58,3,0,35767.053741203024
13,50,53,1,0,33466.91377873147
10,53,44,2,1,29287.93338467382
16,34,28,5,1,30428.828236552075
20,44,22,1,1,39602.02645776569
14,55,34,1,1,34956.476660735
10,27,24,2,0,23388.713878770093
20,28,44,4,0,40344.52551640064
13,56,64,2,0,34644.04037724459
9,58,32,1,1,29155.574531275415
20,51,63,4,1,46744.50046275509
18,36,30,3,1,40080.333970360174
14,54,28,1,0,31611.198120954185
20,56,62,2,1,47127.04618140861
17,38,43,3,1,39462.61277065138
9,48,39,5,0,26407.148255948676
19,26,45,3,0,36373.0883596413
19,47,41,2,1,40367.878027657986
18,28,46,3,0,38769.58130860684
20,47,26,2,1,38903.8239492785
20,25,59,1,0,40233.53920568293
11,48,21,4,1,26447.861000978795
20,36,63,5,0,41898.12855260741
15,35,35,4,0,33883.20171966647
12,42,60,4,0,31609.414446279097
17,50,33,4,0,39266.06815653082
11,22,50,2,1,23415.985568120628
13,40,46,2,1,33759.79718092867
11,45,56,5,0,31525.348032283568
15,55,27,2,1,38676.01593533774
13,56,26,2,0,32486.099168345474
17,41,48,2,0,39399.125322169086
15,31,45,2,1,34766.793832708994
10,32,20,1,1,24259.790069409817
12,30,31,5,1,30495.57838147138
17,35,42,2,1,33373.563397905345
20,27,32,5,1,38949.3018357956
10,59,19,3,1,27888.291160646568
18,59,41,1,1,41944.62029021981
17,21,31,2,0,35787.06901964603
18,49,24,1,1,37959.57573101322
13,49,53,1,0,36305.65302503595
10,31,41,3,1,23191.832493607984
12,29,44,5,1,30239.026876105763
20,30,54,1,0,41355.09654363152
20,34,55,4,0,41734.478968587544
15,35,47,3,0,31126.490903615646
20,36,44,4,0,41038.634818301805
16,45,56,3,1,37226.49273472904
11,21,32,4,1,27395.325111261798
9,31,43,4,0,24103.33147140482
12,45,18,1,0,27607.007185962077
10,42,21,1,1,24222.306602764802
16,37,46,3,1,33280.20976009397
12,51,18,5,0,33044.558261311686
10,57,60,1,1,34912.55843103236
14,22,63,1,1,31566.161780663908
14,57,39,2,0,40658.690798091324
18,22,28,1,0,34173.799190536294
12,49,27,5,0,32692.866256809684
14,20,34,2,0,29532.322712403602
10,49,53,4,1,28951.004103261537
18,51,64,4,0,43964.718035493825
20,47,43,2,1,44445.44805451179
10,40,38,2,1,24191.46525124188
18,32,30,2,1,36975.95108382844
12,46,26,3,1,32081.88906470657
16,55,28,5,0,36416.93976758625
15,26,28,5,1,30079.15686778216
20,41,23,4,0,38280.792838447276
17,29,18,4,1,32134.404314871626
16,58,23,4,0,37089.59319826566
13,34,30,1,1,32456.324969387195
10,34,39,4,1,25065.620261702385
13,23,48,2,0,27839.357495986013
16,51,39,4,0,37912.08687980985
18,42,54,2,0,37384.62791772631
17,25,64,3,0,32182.57230328844
20,43,44,1,1,40235.76952411378
20,39,31,1,1,41548.2059031863
20,56,64,5,1,47594.646188379986
17,39,22,3,1,37238.210242789166
9,31,53,2,1,21959.25793529124
17,52,49,3,0,40391.87360784148
15,47,51,1,0,33816.35589553853
17,27,24,2,1,33834.64101875628
16,20,59,3,0,31144.203066933635
9,56,27,1,1,26913.26340608492
20,41,34,2,1,42012.79377935408
16,25,47,2,0,32917.60163319744
16,40,38,1,1,31276.09939049295
19,51,30,2,0,45024.66548970934
11,54,18,1,1,28105.248253914266
9,34,18,4,0,18880.985405153187
16,24,64,4,1,36722.39200159175
11,25,50,2,1,28097.139468543057
11,44,55,2,0,30195.638198598837
9,59,42,1,1,32572.49645111949
19,48,43,2,1,40918.608124922735
13,26,30,5,0,28051.297176589953
18,59,45,4,0,44321.60327884685
15,32,50,2,0,36927.99643691302
18,57,54,2,1,39913.38124723893
17,37,58,3,0,43283.6111554495
20,21,47,2,0,41247.74539965176
15,27,25,5,0,31298.91198908806
17,30,64,4,1,36300.695494990665
16,52,18,3,0,34432.66250263272
20,57,29,1,1,44875.66265690126
10,46,22,1,1,27387.599994896584
9,39,41,4,0,26129.735999978562
15,31,23,1,1,31319.50549191227
15,50,42,5,1,37563.92552756474
16,46,18,2,1,30628.754812950923
13,51,42,4,1,33367.791172188976
11,29,18,3,1,21333.536406689775
20,22,49,2,0,39218.92272640431
16,46,59,1,0,41712.93139254092
14,54,59,1,0,35882.62621864978
19,50,20,3,1,39081.420860054524
11,34,36,5,0,25200.96633751574
9,35,60,3,1,25068.185788951578
11,32,46,4,1,28608.105401684265
13,54,19,3,1,33774.39436100947
11,30,26,1,1,28038.40136025384
9,40,34,5,0,22889.74119687094
13,30,63,5,1,33167.87904132179
18,49,53,3,0,43800.73838569022
15,54,34,4,0,40006.59269759036
15,41,29,1,1,31739.024130924387
19,57,37,2,0,39592.840250256464
17,50,20,5,0,36945.22846755741
18,33,60,3,0,45217.374900876835
18,43,21,4,1,35509.47443269432
20,51,34,4,1,44573.84989442376
11,55,54,1,1,28466.942806849995
15,51,63,5,0,42629.679835838906
9,34,59,1,0,22443.590924392858
12,54,32,2,1,27217.74080777382
12,22,50,2,1,27597.73817826367
13,35,33,2,0,30036.739092263393
15,24,28,4,1,32938.57890026545
15,40,37,5,1,35898.92264798114
19,29,55,1,0,35798.84784327427
12,38,41,1,0,29396.260922410147
15,44,33,2,1,33205.82148164391
19,23,47,5,1,35129.89536011694
11,48,51,5,1,32067.34516116459
14,38,18,3,1,32485.96192494302
20,21,41,5,0,36689.40837468741
10,29,41,5,1,24234.29946999641
18,44,26,1,1,37867.62753537927
17,39,39,5,0,35877.82974169249
13,38,29,5,0,29145.231928685873
14,42,34,1,0,31476.548320275775
20,43,42,5,0,43049.26840398883
20,30,45,1,0,39327.114563699404
20,53,32,3,0,44654.18492152447
20,47,47,4,0,42919.78318773452
12,24,44,1,1,28493.481157395374
19,24,39,1,1,35976.63083898543
18,40,27,5,0,38911.472563788404
15,31,48,1,1,31802.817467362118
20,23,44,2,1,40770.72508522256
17,39,29,2,0,32643.950068317885
15,57,63,3,0,40188.3073899003
9,44,48,1,0,25965.698019736763
9,33,49,5,0,24907.63735811484
17,30,49,5,0,34028.022426816584
19,51,58,4,1,44110.806127198855
17,30,62,3,1,35481.29269365791
12,37,52,5,0,30123.659186768986
17,46,63,4,0,40337.69612445248
11,37,38,5,1,28359.845613568545
15,42,27,4,1,33731.61862683309
14,30,33,2,1,34056.60478720991
16,40,24,2,0,33380.13048917
19,24,21,5,0,35134.74271445792
17,42,44,3,1,44668.6131372189
13,60,42,1,0,35252.89614040664
9,44,48,3,1,29006.442737834554
11,60,28,3,0,32453.09972290533
18,29,37,1,0,41169.559040582455
20,41,53,2,1,40638.70856472473
16,38,34,2,1,31910.838566428953
19,20,62,1,0,36464.24075721483
14,26,28,4,1,29345.55821804101
16,23,47,3,0,31293.195373332004
17,20,52,5,1,30433.116280854898
12,34,58,2,1,28751.284729831394
